Exchange,Country,region
PNK,USA,AMERICA
NMS,USA,AMERICA
NYQ,USA,AMERICA
ASX,Australia,ASIA_PACIFIC
NCM,USA,AMERICA
NGM,USA,AMERICA
ASE,USA,AMERICA
JKT,Indonesia,ASIA_PACIFIC
GER,Germany,EMEIA
PAR,France,EMEIA
TOR,Canada,AMERICA
BRU,Belgium,EMEIA
OBB,USA,AMERICA
BUE,Argentina,AMERICA
LSE,United Kingdom,EMEIA
KLS,Malaysia,ASIA_PACIFIC
PCX,USA,AMERICA
VAN,Canada,AMERICA
AMS,Netherlands,EMEIA
EBS,Switzerland,EMEIA
TWO,Taiwan,ASIA_PACIFIC
OSL,Norway,EMEIA
STO,Sweden,EMEIA
CPH,Denmark,EMEIA
VIE,Austria,EMEIA
SAO,Brazil,AMERICA
SES,Singapore,ASIA_PACIFIC
NSI,India,ASIA_PACIFIC
MEX,Mexico,AMERICA
HKG,Hong Kong,ASIA_PACIFIC
NZE,New Zealand,ASIA_PACIFIC
MCE,Spain,EMEIA
BSE,India,ASIA_PACIFIC
ISE,Ireland,EMEIA
FRA,France,EMEIA
MCX,Russia,EMEIA
MIL,Italy,EMEIA
MUN,Germany,EMEIA
ATH,Greece,EMEIA
BER,Germany,EMEIA
ENX,France,EMEIA
STU,Germany,EMEIA
LIS,Portugal,EMEIA
TLV,Israel,EMEIA
DUS,Germany,EMEIA
IST,Turkey,EMEIA
HAM,Germany,EMEIA
HAN,Germany,EMEIA
TAL,Estonia,EMEIA
TLO,Italy,EMEIA
SET,Thailand,ASIA_PACIFIC
TAI,Taiwan,ASIA_PACIFIC
HEL,Finland,EMEIA
ICE,Iceland,EMEIA
IOB,United Kingdom,EMEIA
CNQ,Canada,AMERICA
RIS,Latvia,EMEIA
KSC,South Korea,ASIA_PACIFIC
LIT,Lithuania,EMEIA
KOE,South Korea,ASIA_PACIFIC
DOH,Qatar,EMEIA
EUX,Germany,EMEIA
SHH,China,ASIA_PACIFIC
CCS,Venezuela,AMERICA
SHZ,China,ASIA_PACIFIC
MAD,Spain,EMEIA
