Ticker,Name,Exchange,Category Name,Country
1398.HK,Industrial and Commercial Bank of China Limited,,banking,Hong Kong
0939.HK,China Construction Bank Corporation,,banking,Hong Kong
1288.HK,Agricultural Bank of China,,banking,Hong Kong
3988.HK,Bank of China Limited,,banking,Hong Kong
8306.T,Mitsubishi UFJ Financial Group,,banking,Japan
JPM,JPMorgan Chase & Co.,,banking,USA
HSBA.L,HSBC Holdings PLC,,banking,United Kingdom
BNP.SG,BNP PARIBAS S.A. Actions Port.,,banking,Germany
BAC,Bank of America,,banking,USA
ACA.PA,Crédit Agricole S.A.,,banking,France
C,Citigroup Inc.,,banking,USA
7182.T,Japan Post Bank,,banking,Japan
WFC,Wells Fargo & Co.,,banking,USA
8316.T,Sumitomo Mitsui Financial Group  Inc.,,banking,Japan
DBK.DE,Deutsche Bank Aktiengesellschaft,,banking,Germany
SAN.MC,Banco Santander,,banking,Spain
8411.T,Mizuho Financial Group  Inc.,,banking,Japan
BARC.L,Barclays PLC,,banking,United Kingdom
GLE.PA,Société Générale Société anonyme,,banking,France
3328.HK,Bank of Communications,,banking,China
1658.HK,Postal Savings Bank of China,,banking,China
LLOY.L,Lloyds Banking Group,,banking,United Kingdom
RY,Royal Bank of Canada,,banking,USA
TD,Toronto-Dominion Bank,,banking,USA
ING.PA,ING Group,,banking,France
UCG.MI,UniCredit S.p.A.,,banking,Italy
GS,Goldman Sachs,,banking,USA
MS,Morgan Stanley,,banking,USA
BMO,Bank of Montreal,,banking,USA
CM,Canadian Imperial Bank of Commerce,,banking,USA
